Trip_ID,Date,Destination,Duration_Days,Category,Subcategory,Amount_LKR,Payment_Method,Traveler_Type,Season,Rating
TRP_108,2025-08-22,Mirissa,2,Miscellaneous,Mobile Data,11900,Cash,Couple,Peak,4.4
TRP_066,2025-03-24,Nuwara Eliya,3,Miscellaneous,Mobile Data,13100,Cash,Couple,Peak,4.6
TRP_025,2025-08-07,Nuwara Eliya,4,Food,Street Food,26400,Card,Couple,Peak,4.4
TRP_047,2026-02-15,Nuwara Eliya,4,Shopping,Souvenirs,6800,Cash,Solo,Peak,5.0
TRP_056,2025-09-14,Nuwara Eliya,3,Activities,Surfing,32300,Cash,Family,Off-Peak,4.3
TRP_072,2025-02-26,Galle,2,Activities,Guided Tour,11800,Card,Solo,Peak,3.6
TRP_063,2025-01-22,Ella,2,Transport,Bus,24100,Cash,Family,Peak,4.3
TRP_029,2025-05-22,Colombo,1,Activities,Guided Tour,3100,Cash,Solo,Off-Peak,4.8
TRP_099,2026-06-14,Nuwara Eliya,3,Miscellaneous,Mobile Data,5000,Cash,Solo,Off-Peak,4.1
TRP_138,2025-12-01,Galle,2,Miscellaneous,Laundry,8200,Card,Couple,Peak,2.9
TRP_018,2025-10-16,Ella,3,Shopping,Souvenirs,4600,Cash,Couple,Off-Peak,4.3
TRP_057,2025-10-21,Mirissa,3,Shopping,Local Products,6300,Card,Couple,Off-Peak,4.3
TRP_053,2026-01-25,Sigiriya,3,Transport,Taxi,13300,Online Transfer,Couple,Peak,4.3
TRP_140,2025-04-16,Nuwara Eliya,2,Activities,Museum,6800,Online Transfer,Solo,Off-Peak,3.5
TRP_040,2025-07-18,Arugam Bay,4,Activities,Guided Tour,28500,Cash,Solo,Peak,4.4
TRP_050,2026-03-01,Ella,4,Activities,Surfing,71000,Cash,Family,Peak,3.5
TRP_008,2025-10-01,Nuwara Eliya,4,Activities,Tickets,13600,Online Transfer,Solo,Off-Peak,4.4
TRP_047,2026-02-15,Nuwara Eliya,4,Food,Hotel Dining,13200,Online Transfer,Solo,Peak,4.2
TRP_067,2026-02-13,Sigiriya,3,Shopping,Souvenirs,9400,Card,Couple,Peak,4.1
TRP_101,2025-12-12,Colombo,3,Activities,Museum,11300,Cash,Solo,Peak,3.9
TRP_086,2025-08-30,Nuwara Eliya,3,Activities,Guided Tour,40100,Card,Family,Peak,3.3
TRP_122,2026-03-07,Arugam Bay,4,Activities,Museum,59700,Cash,Family,Peak,4.1
TRP_096,2026-04-02,Ella,3,Activities,Guided Tour,27800,Online Transfer,Family,Off-Peak,4.0
TRP_060,2025-09-26,Colombo,3,Transport,Bus,11200,Card,Couple,Off-Peak,4.2
TRP_013,2025-07-07,Ella,4,Food,Restaurant,19000,Online Transfer,Couple,Peak,4.4
TRP_130,2025-05-30,Ella,2,Accommodation,Hostel,17700,Cash,Solo,Off-Peak,4.2
TRP_047,2026-02-15,Nuwara Eliya,4,Transport,Train,7400,Card,Solo,Peak,3.7
TRP_061,2025-11-08,Arugam Bay,5,Miscellaneous,Laundry,8100,Cash,Solo,Off-Peak,4.9
TRP_041,2025-02-22,Galle,3,Shopping,Souvenirs,29300,Card,Family,Peak,4.3
TRP_042,2025-08-20,Nuwara Eliya,4,Food,Restaurant,28000,Card,Couple,Peak,4.2
TRP_066,2025-03-24,Nuwara Eliya,3,Accommodation,Villa,115300,Cash,Couple,Peak,2.9
TRP_088,2026-05-27,Sigiriya,4,Activities,Safari,43600,Card,Couple,Off-Peak,4.1
TRP_085,2026-06-13,Kandy,2,Activities,Surfing,8400,Online Transfer,Solo,Off-Peak,4.3
TRP_064,2025-06-28,Colombo,1,Transport,Train,10200,Cash,Couple,Off-Peak,4.3
TRP_069,2025-04-21,Nuwara Eliya,3,Accommodation,Guest House,141800,Online Transfer,Family,Off-Peak,4.5
TRP_015,2026-05-04,Kandy,4,Activities,Museum,47000,Cash,Family,Off-Peak,4.5
TRP_040,2025-07-18,Arugam Bay,4,Transport,Bus,11300,Card,Solo,Peak,3.3
TRP_081,2026-06-24,Colombo,1,Activities,Safari,4900,Cash,Couple,Off-Peak,4.5
TRP_016,2025-11-20,Colombo,2,Accommodation,Hostel,35100,Cash,Solo,Off-Peak,4.5
TRP_077,2026-04-18,Kandy,3,Transport,Tuk Tuk,5600,Online Transfer,Solo,Off-Peak,3.8
TRP_015,2026-05-04,Kandy,4,Transport,Bus,16000,Cash,Family,Off-Peak,3.6
TRP_139,2025-03-26,Mirissa,4,Accommodation,Hostel,44700,Cash,Solo,Peak,4.3
TRP_007,2025-05-22,Arugam Bay,5,Activities,Guided Tour,16300,Card,Solo,Off-Peak,4.7
TRP_023,2026-03-23,Mirissa,2,Accommodation,Hostel,56400,Cash,Couple,Peak,4.0
TRP_080,2025-06-03,Mirissa,4,Activities,Guided Tour,16700,Card,Solo,Off-Peak,3.6
